Time (s),GenPwr
83.9000,6.785E+02
84.0000,6.795E+02
84.1000,6.803E+02
84.2000,6.812E+02
84.3000,6.823E+02
84.4000,6.837E+02
84.5000,6.851E+02
84.6000,6.864E+02
84.7000,6.875E+02
84.8000,6.885E+02
84.9000,6.893E+02
85.0000,6.902E+02
85.1000,6.914E+02
85.2000,6.929E+02
85.3000,6.947E+02
85.4000,6.965E+02
85.5000,6.983E+02
85.6000,7.001E+02
85.7000,7.019E+02
85.8000,7.039E+02
85.9000,7.059E+02
86.0000,7.078E+02
86.1000,7.096E+02
86.2000,7.113E+02
86.3000,7.127E+02
86.4000,7.143E+02
86.5000,7.159E+02
86.6000,7.174E+02
86.7000,7.186E+02
86.8000,7.194E+02
86.9000,7.203E+02
87.0000,7.215E+02
87.1000,7.225E+02
87.2000,7.236E+02
87.3000,7.247E+02
87.4000,7.260E+02
87.5000,7.276E+02
87.6000,7.293E+02
87.7000,7.311E+02
87.8000,7.328E+02
87.9000,7.346E+02
88.0000,7.362E+02
88.1000,7.380E+02
88.2000,7.402E+02
88.3000,7.427E+02
88.4000,7.449E+02
88.5000,7.467E+02
88.6000,7.481E+02
88.7000,7.493E+02
88.8000,7.506E+02
88.9000,7.519E+02
89.0000,7.531E+02
89.1000,7.542E+02
89.2000,7.552E+02
89.3000,7.561E+02
89.4000,7.568E+02
89.5000,7.571E+02
89.6000,7.570E+02
89.7000,7.567E+02
89.8000,7.567E+02
89.9000,7.569E+02
90.0000,7.576E+02
90.1000,7.583E+02
90.2000,7.594E+02
90.3000,7.608E+02
90.4000,7.627E+02
90.5000,7.648E+02
90.6000,7.666E+02
90.7000,7.684E+02
90.8000,7.704E+02
90.9000,7.727E+02
91.0000,7.754E+02
91.1000,7.784E+02
91.2000,7.812E+02
91.3000,7.834E+02
91.4000,7.848E+02
91.5000,7.859E+02
91.6000,7.868E+02
91.7000,7.877E+02
91.8000,7.883E+02
91.9000,7.888E+02
92.0000,7.891E+02
92.1000,7.893E+02
92.2000,7.893E+02
92.3000,7.888E+02
92.4000,7.880E+02
92.5000,7.872E+02
92.6000,7.868E+02
92.7000,7.868E+02
92.8000,7.875E+02
92.9000,7.888E+02
93.0000,7.905E+02
93.1000,7.927E+02
93.2000,7.953E+02
93.3000,7.980E+02
93.4000,8.003E+02
93.5000,8.025E+02
93.6000,8.047E+02
93.7000,8.070E+02
93.8000,8.091E+02
93.9000,8.115E+02
94.0000,8.138E+02
94.1000,8.157E+02
94.2000,8.173E+02
94.3000,8.188E+02
94.4000,8.200E+02
94.5000,8.213E+02
94.6000,8.225E+02
